,WT_R1,WT_R2,WT_R3,WT_R4,A3_R1,A3_R2,A4_R1,A4_R2,DRelA_R1,DRelA_R2
PP_0454,12.27375192,12.48481223,12.00120782,11.35146883,10.65542457,10.55182987,11.29002725,11.21381005,12.29350582,11.93668355
PP_0455,11.12218967,11.43454486,11.04971653,10.3863407,11.81977406,11.6940024,12.39760722,12.33688159,11.97863183,11.51302269
PP_0456,10.22476341,10.67134975,10.38035033,9.690475113,11.8907251,11.89095001,12.51906603,12.30003253,11.29037486,10.58139386
PP_0457,10.77217705,10.95887532,10.9960743,10.40263458,11.5721635,11.45383236,12.18662462,12.11210809,11.82056509,11.39185096
PP_0458,11.36599318,11.94631869,11.27515082,10.66874361,14.21057808,14.15369369,14.9125227,14.7708885,13.28493665,11.89347082
PP_0459,9.957785075,10.35284831,10.12752234,9.471684998,11.23773625,11.33587751,11.96019513,11.78821483,11.56630299,10.7023572
PP_0460,11.48280002,11.85810552,11.4647286,10.83395889,11.21591779,11.10619617,11.76446708,11.74897101,12.37162538,11.79946444
PP_0461,10.40790262,10.69751964,10.66543455,10.09989287,11.91973436,12.01411518,12.5993614,12.35495606,11.99349773,11.33183177
PP_0462,8.150325209,8.604546873,8.997147042,8.333565429,9.172400807,9.345462093,10.10829191,9.686495069,10.26313321,9.5518803
PP_0463,9.384219365,9.854683852,9.884204602,9.459701716,11.90012133,11.82439514,12.49829425,12.35972115,11.03047519,10.31902044
PP_0464,9.709300381,10.15690629,10.17379314,9.589768388,11.0063474,10.85368904,11.47265456,11.32718402,11.27840016,10.66515931
PP_0465,9.671666849,9.921111033,10.11258407,9.645569865,9.887087206,9.918303224,10.5657701,10.39846856,10.80006292,10.30157155
PP_0466,11.58573716,12.12870265,11.61127821,11.16745072,12.07615828,11.98922168,12.65036441,12.60774198,12.72481266,12.04646025
PP_0467,7.570679858,7.6186057,8.960314721,8.467143479,7.984823638,7.955742534,8.467590287,8.343573091,9.209997938,9.147781114
PP_0468,10.56724406,10.83962626,10.86236366,10.3278679,11.13093589,11.11750803,11.71346293,11.63325427,12.19497633,11.43836386
PP_0469,11.30671788,11.6043852,11.16380882,10.78910872,11.0342535,11.03145832,11.6473257,11.53112872,12.16801089,11.57903754
PP_0470,10.00684262,10.25566934,10.16009882,9.76008379,10.01501007,9.860011095,10.55308559,10.4461599,10.83445667,10.33058227
PP_0471,10.82141513,11.21252185,10.81915348,10.29232285,11.35977199,11.27312255,11.9871596,12.0015716,11.53626101,11.0514466
PP_0472,8.490228771,9.343246864,9.345054276,8.676706977,10.31112003,10.46656944,10.96314593,10.66823483,10.42774603,9.591548461
PP_0473,10.62883888,10.9470866,10.89318972,10.45018001,11.07260984,10.80109303,11.5777319,11.59955029,11.82565381,11.25768292
PP_0474,11.3752665,11.67582988,11.32880795,10.82138943,11.46583517,11.36855143,12.00268114,12.08373191,12.42400783,11.92539084
PP_0475,2.686275383,3.757244897,4.907981004,3.600332289,0,2.183060525,1.165265601,2.238713476,5.022307074,5.12051003
PP_0476,9.817518538,9.969253633,10.21043915,9.792524931,9.71393745,9.847277884,10.39861353,10.16334625,10.46010509,9.947954457
PP_0477,9.9854302,10.191884,10.21076309,9.683255336,11.70008579,11.61708156,12.26887421,12.17416723,11.48933365,10.88686428
PP_0478,10.97304509,11.25080236,11.04873675,10.70615656,9.767140474,9.631669515,10.33173609,10.2405842,11.53013333,11.11328778
PP_0479,11.56879332,11.81045342,11.43794628,11.06432946,11.37895307,11.2649036,11.97036733,11.92811175,12.0126081,11.68201647
PP_0480,9.493938296,9.760519192,10.6638384,10.43062272,9.418992772,9.234331987,9.85402894,9.920895761,10.93134268,10.63493181
PP_0481,10.2125185,9.717604962,9.611863738,9.879437562,8.953186222,8.97343932,9.308526573,9.426966447,8.384419463,8.681191695
PP_0482,12.1192232,10.95502842,11.91050306,12.01200999,10.70595095,11.09541205,8.568214044,8.998638641,10.52217634,10.16692169
PP_0483,6.849807676,6.925410626,6.369154349,6.16525105,7.006382664,6.918086919,6.984119369,7.005979598,6.445783231,6.604368334
PP_0484,7.498185726,7.699941796,7.162753746,7.160276502,7.789299109,7.802183011,8.178245587,8.22586053,7.859180902,7.918283311
PP_0485,8.453213641,8.715533506,8.361554406,8.548066869,8.848889357,8.921267703,9.344979671,9.353547552,8.545311441,8.43210247
PP_0486,5.544152261,5.672315185,4.89088722,4.877430589,5.173032229,5.116785808,4.965033316,5.203961649,5.022143635,5.116475631
PP_0487,2.437194917,2.761097778,2.785242898,2.867921973,3.371160374,2.863085245,2.8189798,2.698999139,2.768677407,3.167342426
PP_0488,4.701153493,4.641840183,4.327389351,4.805458436,4.598033215,4.280773834,4.295928975,4.120618993,4.817539344,5.084058652
PP_0489,9.003853303,8.90223691,8.566945776,8.828063958,8.775092104,8.661037268,8.480188741,8.655306128,9.175423804,8.959644798
PP_0490,6.231195179,6.40622603,6.053693327,6.238143094,6.827381003,6.590857497,6.047842762,6.302311607,6.328876979,6.430042624
PP_0491,5.809511213,5.547021289,6.038549297,6.336778291,7.649720068,7.746830176,7.274033587,7.463027758,5.856926751,6.020695346
PP_0492,6.593799243,6.416934222,6.844829462,7.055799361,7.802649763,7.494002696,7.03633961,7.18541285,6.971274378,7.196345834
PP_0493,6.727035711,6.782518806,6.347565836,6.645188938,7.249803119,7.001146381,6.466499857,6.278661788,6.214546206,6.473886601
PP_0494,6.017191683,5.982009436,6.100959627,6.400790502,7.445609573,7.293368221,6.329471944,6.543505053,5.692385492,6.181806028
PP_0495,2.664594966,3.014777617,3.422149196,3.480140704,6.228045902,6.126596364,5.812368151,6.153855834,4.96888796,5.008073145
PP_0496,4.884768045,4.523584117,4.902295634,4.080180806,4.640130901,4.688725732,2.65094963,2.970726543,3.383767276,2.956908259
PP_0497,5.088503382,5.135930762,4.895676124,4.964627254,4.500168319,4.47874144,4.667353732,4.664199785,5.0311879,4.704437073
PP_0498,5.217547746,5.282028711,4.799440116,4.817707818,4.279316511,4.538219723,4.239669965,4.908262828,4.938610353,5.258455611
PP_0500,6.710391341,6.843258934,7.123365086,7.201993501,7.547147864,7.386511131,7.169951451,7.425558593,7.586656746,7.595243729
PP_0501,6.454723162,6.583776299,6.434284848,6.363018875,6.140524196,6.067460589,6.172404843,6.192530674,6.195622583,6.370609349
PP_0502,4.164999724,4.86907771,3.27170807,3.437820264,3.834929275,4.770412045,4.608638852,4.565984361,2.371899796,1.695934224
PP_0503,2.355871835,1.785924166,2.618870478,1.963926446,2.370999823,1.957897555,1.969332496,1.669902291,2.277762479,2.830036038
PP_0504,13.24945703,12.9296981,13.88859513,13.838675,10.98359925,11.13851271,11.94525119,12.0015368,13.48697924,13.56522978
PP_0505,3.612659579,3.558291273,3.961147651,3.911824584,5.46766362,5.435410098,4.884106704,5.100311382,3.41164379,4.429973934
PP_0506,3.63135841,3.408894366,3.239827974,3.075156165,4.510711513,4.354607811,5.116058854,5.120073986,4.554019994,4.84255678
PP_0507,4.456022126,3.882524072,4.697749289,4.326114579,4.214392389,4.023150118,5.304314727,4.992036624,5.388609207,5.569163653
PP_0508,5.764663982,5.942768878,6.083625606,6.168953051,5.245691067,5.267129519,6.409596642,6.582908934,6.47885158,6.512081995
PP_0509,5.700073044,5.834174514,4.753926011,5.283654225,6.612956092,6.849585196,6.621759683,6.132126055,4.653644365,4.552738031
PP_0510,7.866089164,7.992052098,8.048524551,7.971038947,7.071903271,6.930246898,6.28874624,6.341674816,6.974358984,7.368267951
PP_0511,4.752808329,5.167047175,4.282254772,4.65367523,6.059386874,6.252227517,5.585940205,5.704075811,5.230735222,5.285394345
PP_0512,4.418876785,4.444480038,4.522300147,4.6789268,5.309008471,4.802377936,4.744971846,4.798546413,4.567975053,4.745903822
PP_0513,6.837488269,6.766887134,6.146983327,6.08505993,7.526947432,7.505373414,7.181946597,7.10727963,6.673825473,6.860661616
PP_0514,6.059023685,6.046216924,6.129853739,6.138072872,7.118625215,7.003274667,6.92003752,7.033229178,6.807971804,7.082507642
PP_0515,7.21327536,7.517342061,7.317648415,7.234828109,6.903758434,7.110586083,6.968305127,6.939493029,8.040950151,7.856299295
PP_0516,7.293716814,7.465348385,7.454133755,7.291177494,8.564888526,8.416287066,8.58413153,8.733723313,8.352733856,8.390767551
PP_0517,8.011256359,8.156804208,8.337206168,8.559827022,8.609233651,8.559138568,8.745754477,8.917519348,8.743722659,8.651763736
PP_0518,7.693916135,7.858352599,7.666072522,7.524430461,8.860968324,8.822433912,9.192881337,9.253689186,8.662270743,8.464482744
PP_0519,5.665800687,5.77337595,5.765541128,5.737311911,6.979100977,6.838432145,6.847249864,7.121438725,7.189522904,6.88438658
PP_0520,5.546312754,5.62287728,5.754373493,5.79719212,5.763109384,5.376586164,4.908735979,5.431449927,6.450896105,6.410773081
PP_0521,6.153364029,6.410154334,6.316898629,6.273907881,5.900845718,5.922207471,5.644217645,5.802007376,6.64911455,6.891610989
PP_0522,6.842230187,6.970701421,6.544194586,6.816711312,5.842924813,5.943208698,6.485463834,6.217068684,7.30487598,7.150329072
PP_0523,2.662932163,2.744881228,3.929373609,3.510607203,3.209604758,3.160318536,4.118623268,3.578603889,4.528039136,4.62501005
PP_0524,2.659837237,3.486807465,3.313295376,3.521800739,4.453532746,4.559910946,4.416650707,4.819209292,4.991927664,5.037246843
PP_0525,5.349862614,5.503920964,4.699993743,5.155453302,5.075431937,4.885135774,4.053147496,4.102016893,3.45490975,3.913530516
PP_0527,7.349325117,7.448722924,7.180769003,6.915954792,8.150220036,8.09411302,8.618683323,8.625445372,7.997455604,7.902253902
PP_0528,6.003161445,5.911984916,5.990944516,5.842401122,8.402594517,8.332456902,8.416985417,8.503463192,7.759327827,7.752188693
PP_0529,5.024563398,5.251398031,5.137982034,4.604145753,5.106654817,5.31532327,5.115032393,4.31385916,5.422589538,5.667807628
PP_0530,3.785631425,3.657023793,2.64444964,2.671479581,3.72832369,3.853853603,2.911213207,2.748948213,2.399309056,2.70121077
PP_0531,3.454477943,4.194081508,3.572681547,3.799772988,4.050001391,4.20524843,3.643689421,3.212426048,1.816932227,2.982231056
PP_0532,2.82629821,2.760932868,2.89862274,3.016422447,2.888295492,2.542113619,2.523960941,2.882749427,2.630199324,3.888459634
PP_0533,3.123893109,2.742820951,3.276561982,3.126673241,3.009309238,3.129237547,3.652733237,3.531164588,2.818646111,3.648604091
PP_0534,1.824561146,2.394576706,2.569173279,1.68146355,2.323144492,2.636495143,3.174645093,3.048473956,1.692217968,3.73893411
PP_0535,3.411661237,3.448555006,2.610685637,2.565989599,2.511657886,2.769112231,2.479311533,2.467889072,3.019223209,3.625769553
PP_0536,5.680537678,6.093943903,6.320221448,6.880802072,5.436855312,5.856827354,3.410242563,3.364488361,3.679422323,3.363402149
PP_0537,2.744870124,1.633131948,1.499179485,2.14553649,1.311711133,1.91602709,1.808660076,1.522612287,2.17783496,2.609806608
PP_0538,10.63032187,10.74397607,10.57553992,10.30578828,8.35325652,8.326021492,9.034446404,9.051992046,10.55908718,10.75964519
PP_0539,4.338947907,3.908471891,4.367994753,4.587244998,5.400596837,5.377652599,4.977894467,5.240371295,5.403386363,5.36667255
PP_0540,5.553455674,5.625876939,4.970020544,5.350246526,6.373136019,6.262270388,6.230986744,6.457908085,6.152914387,6.040260485
PP_0541,8.7287872,8.445921293,8.843386196,9.262768105,7.89322501,8.313001366,6.444163466,6.569682922,6.203998924,7.043042103
PP_0542,6.485399474,6.498604147,6.38794176,6.536283914,9.179064869,9.05201043,7.257472065,7.35984767,5.0654243,5.452427642
PP_0543,7.393645385,7.277405621,6.935857294,7.097251067,8.209391342,7.974039853,6.474489894,6.365185633,6.243586155,6.498130875
PP_0544,4.862627883,4.572948807,4.270850778,4.112814498,7.247210546,6.701428904,4.86870213,4.431915867,3.317836477,3.517097964
PP_0545,12.28270779,12.07328055,11.66561154,11.95851604,12.0803628,12.11209154,11.73108093,11.75323153,10.42678773,10.78727782
PP_0546,6.223191668,5.808249814,6.230186742,5.679178548,8.13677973,7.836731921,5.865194557,5.960208917,5.081615701,5.574393026
PP_0547,7.381270792,7.372781443,7.215863734,7.010997061,7.89908627,7.86528172,7.515076456,7.704645195,7.030819323,7.214862589
PP_0548,6.266685823,6.458368334,6.240819392,5.906028035,6.703472557,6.613294671,6.217970395,6.302111233,6.374598704,6.508402674
PP_0549,2.711354787,3.218522871,3.598062777,2.819348578,3.139588534,2.655701565,2.71843882,2.262128461,3.550596278,2.981461388
PP_0550,7.844841672,7.716231433,8.329716054,8.619572937,7.010968872,7.180198157,6.072210092,6.107396603,4.749067068,5.177083604
PP_0551,5.402553562,5.354269567,5.274520032,5.338532122,5.892494515,5.842067482,5.503764684,5.566658402,5.149923084,5.262684133
PP_0552,3.184660845,3.812257919,3.408995001,3.812636263,5.240620948,5.096940035,3.812494397,3.896542284,2.800620667,3.262394567
PP_0553,1.291274896,1.322087337,1.110412528,1.835060537,3.117848605,3.007142496,1.443899034,1.668487897,1.694374302,1.38915566
PP_0554,0.701745238,0.927409985,0.503909767,0.714746095,2.242288258,2.592822947,1.194630797,1.192782885,0.682532119,0.474411888
PP_0555,1.399536264,1.327285212,0.906532278,1.227330785,2.240491033,2.397310039,0.378044315,1.084654418,0.396576601,1.151693363
PP_0556,0,0.232342022,0.490569716,0,0,0.480599461,0.502033053,0.272179548,0.910042525,0.249260863
PP_0557,3.873824091,3.579252405,3.5522493,3.350890517,7.030894913,6.911543512,2.977763297,3.512393432,2.84358866,2.743226208
PP_0558,10.4259756,10.58231612,10.2254958,10.19604071,10.55727865,10.45302292,10.93297312,11.00307283,10.17315283,10.24640448
PP_0559,9.567092291,9.675237708,9.210122118,9.222915309,9.095877448,8.911182156,9.372769999,9.300313662,8.894738862,9.027835489
PP_0560,7.746302756,7.781714778,7.421933928,7.457803239,6.336471541,6.653402077,6.237354322,6.102503898,7.892017019,7.740594417
PP_0561,4.333827176,4.116540325,4.699086389,4.201271472,4.79835578,4.720297089,4.743666395,4.922190418,5.138371098,5.449607416
PP_0562,4.922683652,5.080562177,5.617237164,5.759747626,6.933281007,7.027836673,6.680850524,6.820496104,5.914756789,6.064101392
PP_0563,8.418692502,8.090316365,7.971573308,7.626468007,8.098724053,8.187749518,5.987808461,5.949768086,8.299543754,8.157610371
PP_0564,7.941527885,7.941666445,7.891348466,7.852406167,8.184888712,8.016795994,9.25879987,9.310691809,7.012982559,7.306369923
PP_0565,6.152711429,6.042297416,6.108805378,6.321091025,8.307773176,8.031258619,8.977208101,9.061456169,6.002369544,6.456459356
PP_0566,5.11007927,5.271775791,5.779809995,5.268754706,5.667416855,5.540932861,6.032897438,6.371294963,7.000564695,6.083333803
PP_0567,7.431278554,7.559878534,7.346365317,7.442257951,7.363752527,7.438999851,7.650079138,7.723914504,7.321862287,7.088729825
PP_0568,5.453316362,5.07625444,4.581943477,5.493760873,4.402084971,4.700004719,3.409596625,3.195967537,3.191108724,3.860219725
PP_0569,2.648472506,2.281638518,2.61241737,2.676692994,3.176654297,3.268110038,2.856487099,3.094156385,2.857109375,2.916600217
PP_0570,7.045143141,7.033864554,6.904318698,6.849478712,7.657161182,7.746089382,6.776492913,6.824659263,5.917566941,5.988501704
PP_0571,5.787955574,5.911497372,5.908525913,5.89359342,4.363481297,4.230536941,3.21222031,3.139929013,4.407365662,5.041900797
PP_0572,2.860483009,3.037807218,3.627167121,3.523204814,4.148471004,4.186166127,2.994794686,3.455130104,3.193923371,3.836351545
PP_0573,5.133437657,5.048900521,5.241502602,5.980326835,4.881545253,5.087703841,3.669561546,4.110661073,2.999762311,3.847763451
PP_0574,10.2642059,10.17932889,9.988169816,10.25158,7.980680482,8.332526302,6.901580756,6.880013993,6.382159233,6.908664467
PP_0575,6.545666068,6.450891152,6.497220282,7.186568245,5.989940396,6.099655328,4.100614836,4.292693389,3.820120731,4.018323965
PP_0576,7.34429675,7.290834043,7.380988897,7.787973638,7.373838792,7.652979483,6.098948328,6.476008104,5.243604866,5.513727208
PP_0577,4.361636707,4.665587454,4.511179998,4.689653678,5.252808327,4.953049926,4.555328394,4.762050152,4.361273762,4.859415825
PP_0578,4.562937186,4.577270676,4.287297244,4.603720603,5.129139824,4.867449609,4.8638463,5.050739452,4.227631922,4.422175916
PP_0579,5.570135574,6.005848388,5.094935053,4.709787754,4.869055921,5.217783328,4.546165764,3.983125305,4.233416543,4.387831849
PP_0580,5.999660807,5.616763582,5.677670735,5.937716841,5.780251548,5.707987726,4.212209768,4.49902374,3.046541195,4.174747579
PP_0581,7.024966684,7.098811129,6.722579456,7.125552943,6.434881066,6.461345226,4.727342062,4.830518039,4.348559129,4.968132679
PP_0582,6.264203816,6.15346803,6.158960816,6.374447073,6.756795823,6.827877547,5.173306148,5.380841717,3.280681908,4.722771003
PP_0583,5.198907167,5.18879156,4.961012089,4.816726711,6.577636687,6.726088143,5.363926513,5.117725913,3.281694261,3.612456102
PP_0584,6.388631562,6.211801916,6.191426022,5.895132167,7.55175454,7.535621017,4.255113833,4.163932261,6.476769083,6.286778199
PP_0585,5.753279706,4.891971351,6.234412726,6.141377617,4.84914831,3.719247524,5.136251073,5.197308411,6.475071335,6.53057827
PP_0586,7.653350129,7.173069032,7.563009129,7.534534427,7.896878206,7.711159671,8.538357722,8.650388917,8.181028216,8.474483952
PP_0587,6.727768223,6.854542434,7.135132717,6.865860992,5.982342524,6.142470459,5.5346153,5.402287383,5.680669632,6.378605219
PP_0588,4.654056216,3.074702608,4.856254894,4.716743647,0,0,0.79651808,1.072341411,1.354150304,2.323945527
PP_0589,3.314329599,3.395593527,3.404546755,3.763448249,2.510481278,2.571689022,2.078248808,3.041792726,4.385330522,4.198226661
PP_0590,4.643880234,4.745896529,4.456490044,4.618805212,6.04659443,6.041551161,5.350097534,5.629279249,4.44582616,4.525183941
PP_0591,7.247100333,7.307910408,7.233968491,7.392067361,6.958301174,6.916059234,8.210145878,8.161761562,7.176004482,7.244258108
PP_0592,7.783668271,7.511587566,7.843383193,7.913933594,6.979719881,7.177314719,6.173737157,6.228932586,5.938440937,6.380054708
PP_0593,3.90281566,4.011590697,4.062309519,3.925273324,3.616206624,3.660694413,3.001239517,3.521857587,3.158403257,4.197661545
PP_0594,7.211840685,7.428887261,6.645590041,6.722237111,7.848005368,8.005337923,7.622418778,7.478487955,5.846556255,6.325603602
PP_0595,4.987053808,4.923295785,4.72175283,4.874796949,4.621987539,4.568902648,4.35525721,4.691320717,3.677652287,4.3591461
PP_0596,6.854129031,7.009414971,6.317546463,7.762221825,8.164438588,7.416759949,7.262267492,7.306271307,5.648805525,6.434247044
PP_0597,6.832395373,6.868955283,6.102666581,7.345364749,8.852430336,8.114031939,7.909512994,8.039931281,5.320128925,6.256864481
PP_0598,5.449640505,5.295773463,4.817650509,4.990630423,5.346121308,5.640589756,5.688800449,5.618915053,4.931731854,5.120085997
PP_0599,6.7926867,6.840621309,6.623955526,6.681370711,7.218001057,7.052266897,6.733736401,6.915799391,6.50589267,6.623452797
PP_0600,9.729119316,9.70184796,10.06811285,9.499891649,8.275693875,8.402031821,8.244084081,8.080175058,12.32922039,12.17706424
PP_0601,4.977884963,4.806606752,5.165353761,5.110185257,4.916969158,4.762277493,3.978160332,4.143532446,5.255825906,5.258544617
PP_0602,7.158313843,7.124384803,7.09592377,7.079583688,9.269360649,9.19461142,9.388981498,9.513000519,8.197181346,8.086153401
PP_0603,8.012549787,8.265604727,7.963301353,7.808560345,8.499261609,8.296366882,8.610380338,8.697461172,8.678359579,8.533032774
PP_0604,5.707308513,6.409695746,6.116800797,5.767683208,6.999971635,6.769898633,7.173288904,7.216121665,7.681985078,7.296970588
PP_0605,6.812798403,6.971959576,6.935511551,7.040220023,6.251156487,6.158579196,6.263546425,5.91864238,7.499170655,7.469146862
PP_0606,7.396385765,7.575621926,7.470669102,7.396023551,7.343592667,7.151712781,7.373977199,7.304014557,8.157878079,7.91348763
PP_0607,1.730964436,2.904468527,3.233042325,3.452625418,3.511799712,3.888835418,2.390052957,2.345105728,2.070306096,2.234772901
PP_0608,4.196765384,3.752724297,2.762333224,1.984618936,3.773380309,4.536699726,3.092607135,2.522358937,1.419135202,2.25442786
PP_0609,2.991192283,3.302076767,2.729594482,3.079543798,3.303393251,3.558343314,2.583534748,2.020617249,1.285937772,2.135689873
PP_0610,2.258734215,3.024028753,2.360045053,2.624392661,2.240955867,2.604364046,2.516090196,2.103228075,1.87132434,1.834595376
PP_0611,4.454089608,4.092623985,4.372061853,4.829220099,6.307055603,6.446379415,6.859719244,6.837707734,5.226492869,5.331196714
PP_0612,7.71103628,7.525035875,7.880728056,7.467969874,8.170694617,7.989234026,8.762415379,8.945008018,8.539843354,8.798979027
PP_0613,4.155581441,3.803139393,3.698656438,4.445250994,6.609212545,6.085937754,3.048765338,3.473793289,2.792214397,3.348132201
PP_0614,4.242685096,3.63324583,3.005176066,3.94241909,6.210587283,5.653420641,2.451949599,2.943373365,2.546812356,2.974152687
PP_0615,1.506279288,2.528543169,2.025350614,2.863955542,5.632016641,5.111549771,1.177827187,1.175996083,0.917447471,0.893770854
PP_0616,3.402114837,2.298475617,2.314481909,2.49678582,4.768700632,4.169528848,1.558208581,1.602875493,1.792750028,2.060963444
PP_0617,2.664631031,1.291140052,1.420681162,1.747582479,4.774373015,4.012810271,0,0.717960884,0.382242114,0.665159567
PP_0618,2.450285434,1.321864148,1.164493197,1.599885537,6.076626352,5.27838269,0.594894028,1.013214219,0.442888455,0.760252339
PP_0619,4.266699167,3.779541859,2.852430283,3.834894404,4.842825316,4.161090543,0.791425364,0.629325639,1.485835809,1.496353196
PP_0620,5.134514169,4.519934553,4.723995353,5.316791215,4.523172492,3.941572325,1.802703926,1.587635003,2.548996242,3.095438528
PP_0621,4.96489466,4.958610366,5.569892046,6.090148383,4.271397229,3.651918313,2.247346425,3.123145837,6.02950337,6.763348237
PP_0622,7.498683972,7.745808173,7.49043208,7.333968166,7.136076635,7.21270948,7.426773172,7.40715897,7.467215889,7.350947946
PP_0623,7.083106113,7.078083781,6.807583979,6.928159646,7.057927403,6.780615731,7.145260699,7.482233204,8.038163589,7.813501679
PP_0624,5.081230141,5.102475107,5.817254997,5.780778561,6.613334953,6.352583065,6.11235588,6.363493791,6.931400142,6.907104517
PP_0625,11.00427889,10.66386863,10.69133343,10.66619963,11.78858563,11.39384683,11.99328135,11.99429993,10.43382169,10.93451122
PP_0626,6.116438454,6.301882203,6.258955414,6.7968813,5.231039891,5.336724106,6.842253642,6.731303323,6.377655349,6.603119034
PP_0627,0.938427179,2.058765581,1.152572055,1.170331668,0,0,0,0,3.300067419,3.631257907
PP_0628,6.535317488,6.491598899,6.589738862,7.144386881,5.765496463,5.905375121,4.167128548,4.380242132,4.498130272,4.863801827
PP_0629,6.468254949,6.621029694,6.100642984,6.230463019,6.146006097,5.647124331,5.545655808,5.685252662,5.15024497,5.21996877
PP_0630,3.500963565,4.125855467,4.724146373,4.695983654,4.918088558,5.256812917,4.682721519,4.815658078,4.3877444,4.303821866
PP_0631,6.385880214,6.21508086,6.241419775,6.136174292,6.008081979,6.060540214,5.568542645,5.383111855,6.116652311,6.133679761
PP_0632,4.376424342,4.583831085,4.488871473,4.596771158,5.426937786,5.31007142,4.077310705,4.355350635,2.820948619,3.816684769
PP_0633,5.047683348,5.228133445,5.037426212,5.443144567,6.654779677,6.613595721,5.472072018,5.539951535,3.20028144,3.999305027
PP_0634,4.486038535,5.16862587,5.14111915,5.577338515,5.486788177,5.835922049,4.635024858,4.946277384,4.957520415,4.908393832
PP_0636,5.804771524,6.21302201,5.741492289,5.382134877,5.550854834,5.905518327,5.836122535,5.585815641,5.374732283,5.250791863
PP_0637,6.262983543,6.438427063,6.306298566,6.350682429,6.270502316,6.395265666,6.774802854,6.774066302,7.335585737,7.296490933
PP_0638,2.048185823,2.20522516,2.921573112,1.15230492,0.978412178,0.830362228,0.863335663,0,2.985771283,1.690351366
PP_0639,8.775204633,9.17620072,8.830731219,8.783165013,10.06430356,10.46579585,9.580583495,9.466354985,8.82229415,8.802897407
PP_0640,10.35577147,10.65928995,10.47027663,10.56293685,10.91785722,11.35208356,10.54749178,10.30899024,9.242190266,9.397345368
PP_0641,8.715916422,9.142948539,9.248559867,9.278972079,7.952238679,8.443273921,6.835509652,6.553566564,8.723578972,8.318216197
PP_0642,1.741214492,0.677780996,1.452783192,1.275707575,0,0.929375809,0.56180668,0.439650482,1.813153332,1.70722403
PP_0643,0,0,0,0,0,0.81310341,0,0,0,1.058949225
PP_0645,4.123668706,4.370249095,4.904404234,5.095415565,2.742981138,3.073983555,1.767230419,2.677328019,4.020852841,4.306773222
PP_0646,4.549712085,4.59612329,3.896552963,4.380279067,4.422271591,4.91211804,3.793410671,3.706353926,2.753614024,2.859231742
PP_0647,3.94072709,4.874935096,3.764550276,3.851391621,2.760140961,3.022293644,2.882803882,2.456898009,2.524312079,2.931293799
PP_0648,6.910701424,6.980588311,6.29057255,6.278454986,6.878669023,7.129085165,6.155295063,6.082195688,4.415002432,4.565775895
PP_0649,5.074597272,5.460645675,5.639084259,5.544874164,5.855757283,5.810075555,4.898715173,4.869489244,4.251181716,3.763434867
PP_0651,5.561579482,5.512207949,5.584508348,6.214847297,4.340228556,4.952203545,3.739395164,4.00766509,3.208100052,3.642973114
PP_0652,1.623544549,1.4495098,2.084311532,1.532832744,1.32346471,1.589017452,0.27674059,0.96301799,0.53269402,1.954018277
PP_0653,1.433015762,2.091957787,0.812566544,0,0.690390824,0.577416944,0,0,1.066588957,1.268326845
PP_0654,6.686436189,6.81419525,6.379743487,6.72443161,8.227112354,8.361647958,6.640345896,6.812212437,3.578163728,3.741921843
PP_0655,5.138598115,4.623556228,4.451684194,4.720051219,3.599311119,3.538076139,2.328769224,2.326140074,1.938457515,2.013942006
PP_0656,3.792991518,4.0431021,4.11975191,4.477318542,4.38110468,4.079692264,5.223003852,5.517270347,5.418693144,5.730030391
PP_0657,6.351768818,6.708762297,5.976510371,6.404118262,6.489154369,6.299969684,7.48913715,7.417517306,6.391374732,7.002338506
PP_0658,6.853958015,6.990458609,7.097168254,7.152930434,7.106391909,6.94475034,7.181299901,7.205772263,7.079038316,7.504826644
PP_0659,3.682845291,3.382792381,3.357228649,3.500231318,4.628764912,4.509292375,4.363398208,4.344037062,3.870412883,4.098411119
PP_0660,1.78596811,1.343751115,1.551385703,2.013507542,2.280048352,1.688474214,1.39410035,0.936444889,1.839696278,1.484613202
PP_0661,3.453604363,3.6398822,2.911256953,3.072216192,3.954777882,4.090441472,3.360180189,3.414197789,2.276641846,3.221091383
PP_0662,2.943353868,2.830335509,3.014964705,3.272018388,3.491345636,3.408674339,2.697319962,3.10075506,2.716069289,3.220039178
PP_0663,1.971803128,2.258993261,2.66976298,2.166654724,3.59427706,3.25799713,2.809977087,2.321748442,3.131104179,2.583772903
PP_0664,2.982978988,3.272113421,3.293882733,2.945226345,3.388687513,3.190701144,2.630446653,3.264629699,2.278930935,2.664797792
PP_0665,3.565885049,3.576032697,3.349757931,3.559359997,4.199145684,4.159565541,3.639580631,3.74030939,3.146080994,2.785803939
PP_0666,1.67941276,1.010664335,2.178927983,1.487383185,0.56281723,0.467438824,0.488379152,0.680709731,0.888246107,1.673845092
PP_0667,3.623833669,4.210139206,2.625744027,3.631166648,2.898520783,2.28789395,4.366336723,4.147721173,2.98342631,5.318541931
PP_0668,2.61855331,2.666326085,1.955129563,1.602632196,3.513160204,3.180494253,4.710041493,4.436490884,2.614687855,3.472670071
PP_0669,2.538533365,2.605067589,2.088726484,2.335231974,2.145721767,1.837993193,3.237982157,3.084717257,2.149214299,2.641937113
PP_0670,1.670449333,2.100259419,2.394632926,2.481163698,3.596205708,3.196533339,3.990475865,3.840847411,2.703462843,2.860415335
